nbr	zone_color_id	x_world_grid	y_world_grid	top_z	bottom_z	zone_name	coords?[0]	coords?[1]	coords?[2]	coords?[3]	coords?[4]	coords?[5]	unk01	map
213	245	25	18	30000.00000000	-30000.00000000	a,War-Torn Plains\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
214	244	23	21	30000.00000000	-30000.00000000	a,Gorgon Flower Garden\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
215	244	23	22	30000.00000000	-30000.00000000	a,Gorgon Flower Garden\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
216	245	22	21	30000.00000000	-30000.00000000	a,Breka's Stronghold\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
217	245	22	22	30000.00000000	-30000.00000000	a,Breka's Stronghold\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
218	244	17	20	30000.00000000	-30000.00000000	a,Spider Nest\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
219	244	18	20	30000.00000000	-30000.00000000	a,Spider Nest\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
220	251	18	19	30000.00000000	-30000.00000000	a,Black Rock Hill\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
221	251	18	20	30000.00000000	-30000.00000000	a,Black Rock Hill\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
222	251	19	19	30000.00000000	-30000.00000000	a,Black Rock Hill\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
223	251	19	20	30000.00000000	-30000.00000000	a,Black Rock Hill\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
224	244	19	18	30000.00000000	-30000.00000000	a,Shilen's Garden\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
225	244	20	18	30000.00000000	-30000.00000000	a,Shilen's Garden\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
226	244	21	18	30000.00000000	-30000.00000000	a,Shilen's Garden\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
227	245	18	20	30000.00000000	-30000.00000000	a,Forest of Sacrifice\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
228	245	19	20	30000.00000000	-30000.00000000	a,Forest of Sacrifice\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
229	244	19	21	30000.00000000	-30000.00000000	a,Evil Hunting Grounds\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
230	244	20	21	30000.00000000	-30000.00000000	a,Evil Hunting Grounds\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
231	244	22	19	30000.00000000	-30000.00000000	a,Timak Outpost\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
232	244	22	20	30000.00000000	-30000.00000000	a,Timak Outpost\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
233	245	22	17	30000.00000000	-30000.00000000	a,Outlaw Forest\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
234	245	22	18	30000.00000000	-30000.00000000	a,Outlaw Forest\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
235	245	23	17	30000.00000000	-30000.00000000	a,Outlaw Forest\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
236	245	23	18	30000.00000000	-30000.00000000	a,Outlaw Forest\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
237	253	23	20	30000.00000000	-30000.00000000	a,Hunters Valley\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
238	244	22	18	30000.00000000	-30000.00000000	a,Forest of Evil\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
239	253	22	18	30000.00000000	-30000.00000000	a,Ivory Tower Crater\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
240	255	22	18	-4633.00000000	-30000.00000000	a,Ivory Tower Crater\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
241	244	20	23	30000.00000000	-30000.00000000	a,Plains of Dion\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
242	245	20	22	30000.00000000	-30000.00000000	a,Floran Agricultural Area\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
243	245	20	23	30000.00000000	-30000.00000000	a,Floran Agricultural Area\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
244	243	20	22	30000.00000000	-30000.00000000	a,Dion Hills\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
245	243	21	22	30000.00000000	-30000.00000000	a,Dion Hills\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
246	245	19	22	30000.00000000	-30000.00000000	a,Windawood Manor\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
247	245	19	23	30000.00000000	-30000.00000000	a,Windawood Manor\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
248	245	19	24	30000.00000000	-30000.00000000	a,Ol Mahum Checkpoint\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
249	245	17	20	30000.00000000	-30000.00000000	a,Fellmere Harvesting Grounds\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
250	245	17	21	30000.00000000	-30000.00000000	a,Fellmere Harvesting Grounds\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
251	245	18	21	30000.00000000	-30000.00000000	a,Fellmere Harvesting Grounds\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
252	251	18	21	30000.00000000	-30000.00000000	a,The Ruined Bend\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
253	251	18	22	30000.00000000	-30000.00000000	a,The Ruined Bend\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
254	251	19	22	30000.00000000	-30000.00000000	a,The Ruined Bend\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
255	244	17	22	30000.00000000	-30000.00000000	a,Windmill Hill\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
256	244	17	23	30000.00000000	-30000.00000000	a,Windmill Hill\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
257	244	18	22	30000.00000000	-30000.00000000	a,Windmill Hill\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
258	244	18	23	30000.00000000	-30000.00000000	a,Windmill Hill\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
259	244	16	24	30000.00000000	-30000.00000000	a,Talking Island, Western Territory\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
260	244	16	25	30000.00000000	-30000.00000000	a,Talking Island, Western Territory\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
261	244	16	26	30000.00000000	-30000.00000000	a,Talking Island, Western Territory\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
262	245	17	24	30000.00000000	-30000.00000000	a,Talking Island, Eastern Territory\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
263	245	17	25	30000.00000000	-30000.00000000	a,Talking Island, Eastern Territory\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
264	245	17	26	30000.00000000	-30000.00000000	a,Talking Island, Eastern Territory\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
265	245	18	25	30000.00000000	-30000.00000000	a,Talking Island, Eastern Territory\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
266	245	18	26	30000.00000000	-30000.00000000	a,Talking Island, Eastern Territory\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
267	251	20	23	30000.00000000	-30000.00000000	a,Giran Arena\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
268	16	0	0	30000.00000000	-30000.00000000	a,Goddard Territory\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
269	255	24	16	30000.00000000	-30000.00000000	a,Town  of Goddard\0	1401	1038	140256	-64320	1024	1024	0.05000000	a,map_godard_castle_town\0
270	254	24	16	30000.00000000	-30000.00000000	a,Goddard Castle\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
271	253	24	16	30000.00000000	-30000.00000000	a,Garden of Beasts\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
272	255	24	14	30000.00000000	-30000.00000000	a,Hot Springs\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
273	254	25	14	-1910.00000000	-4268.00000000	a,Forge of the Gods, Upper Level\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
274	254	25	14	-4270.00000000	-300000.00000000	a,Forge of the Gods, Lower Level\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
275	254	25	14	30000.00000000	-1900.00000000	a,Hall of Flames\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
276	254	26	14	30000.00000000	-30000.00000000	a,Valakas' Lair\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
277	255	24	15	30000.00000000	-30000.00000000	a,Ketra Orc Outpost\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
278	255	25	15	30000.00000000	-30000.00000000	a,Imperial Tomb\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
279	247	25	15	30000.00000000	-4400.00000000	a,Imperial Tomb\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
280	254	25	15	30000.00000000	-30000.00000000	a,Pilgrim's Temple\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
281	252	25	15	30000.00000000	-30000.00000000	a,Sepulcher of Conquerors\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
282	251	25	15	30000.00000000	-30000.00000000	a,Sepulcher of Rulers\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
283	249	25	15	-5600.00000000	-30000.00000000	a,Sepulcher of Great Sages\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
284	250	25	15	-5600.00000000	-30000.00000000	a,Sepulcher of Judges\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
285	247	25	15	-5600.00000000	-30000.00000000	a,Sepulcher of Judges\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
286	253	25	15	30000.00000000	-30000.00000000	a,Four Sepulchers\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
287	255	25	16	30000.00000000	-30000.00000000	a,Wall of Argos\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
288	254	25	16	30000.00000000	-30000.00000000	a,Shrine of Loyalty\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
289	255	23	16	30000.00000000	-30000.00000000	a,Varka Silenos Barracks\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
290	17	0	0	30000.00000000	-30000.00000000	a,Rune Territory\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
291	254	21	16	30000.00000000	-30000.00000000	a,Rune Township\0	852	1062	29760	-55808	1024	1024	0.05000000	a,map_rune_village\0
292	253	21	16	30000.00000000	-30000.00000000	a,Rune Harbor\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
293	253	21	15	30000.00000000	-30000.00000000	a,Windtail Waterfall\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
294	255	21	15	30000.00000000	-30000.00000000	a,Beast Farm\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
295	254	22	15	30000.00000000	-30000.00000000	a,Valley of Saints\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
296	254	21	15	30000.00000000	-30000.00000000	a,Valley of Saints\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
297	254	23	15	30000.00000000	-30000.00000000	a,Valley of Saints\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
298	255	21	16	30000.00000000	-30000.00000000	a,Forest of the Dead\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
299	253	22	16	30000.00000000	-3490.00000000	a,Swamp of Screams\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
300	253	22	15	30000.00000000	-3490.00000000	a,Swamp of Screams\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
301	253	23	16	30000.00000000	-3490.00000000	a,Swamp of Screams\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
302	252	23	16	30000.00000000	-30000.00000000	a,Devil's Pass\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
303	249	16	12	30000.00000000	-30000.00000000	a,Dimensional Rift\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
304	255	25	14	30000.00000000	-30000.00000000	a,Forge of the Gods, Upper Level\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
305	255	25	20	30000.00000000	-30000.00000000	a,The Forest of Mirrors\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
306	253	19	23	-3700.00000000	-30000.00000000	a,Ant Incubator\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
307	253	19	23	30000.00000000	-3600.00000000	a,Wasteland\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
308	251	21	21	30000.00000000	-30000.00000000	a,Death Pass\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
309	251	23	21	30000.00000000	-30000.00000000	a,Death Pass\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
310	252	21	16	30000.00000000	-30000.00000000	a,Cursed Village\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
311	18	0	0	30000.00000000	-30000.00000000	a,Olympiad Stadium\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
312	254	23	16	30000.00000000	-30000.00000000	a,Varka Silenos Village\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
313	253	24	15	30000.00000000	-30000.00000000	a,Ketra Orc Village\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
314	254	23	21	30000.00000000	-30000.00000000	a,Hardin's Academy\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
315	249	20	16	30000.00000000	-30000.00000000	a,Rune Castle\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
316	246	19	16	-5600.00000000	-30000.00000000	a,The Pagan Temple\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
317	253	22	16	-3500.00000000	-30000.00000000	a,Stakato Nest\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
318	246	22	16	30000.00000000	-30000.00000000	a,Stakato Nest\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
319	246	23	15	-850.00000000	-30000.00000000	a,Monastery of Silence\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
320	241	23	15	1000.00000000	-30000.00000000	a,Monastery of Silence\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
321	244	25	15	-4500.00000000	-5500.00000000	a,The Last Imperial Tomb\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
322	254	24	14	30000.00000000	-30000.00000000	a,Rainbow Springs Chateau\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
323	222	21	15	30000.00000000	-30000.00000000	a,Wild Beast Reserve\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
324	235	21	17	30000.00000000	-30000.00000000	a,Fortress of the Dead\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
325	239	22	13	30000.00000000	-30000.00000000	a,Schuttgart Castle\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
326	210	22	13	30000.00000000	-30000.00000000	a,Town of Schuttgart\0	1104	605	77344	-147392	1024	1024	0.05000000	a,map_town_of_schuttgart\0
327	235	21	14	30000.00000000	-30000.00000000	a,Valley of the Lords\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
328	249	23	12	30000.00000000	-30000.00000000	a,Mining Zone Passage\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
329	207	23	13	30000.00000000	-30000.00000000	a,Plunderous Plains\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
330	244	23	14	30000.00000000	-30000.00000000	a,Frozen Labyrinth\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
331	247	23	14	30000.00000000	-30000.00000000	a,The Ice Queen's Castle\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
332	253	22	14	30000.00000000	-30000.00000000	a,Pavel Ruins\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
333	231	22	14	30000.00000000	-30000.00000000	a,Caron's Dungeon\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
334	218	22	14	30000.00000000	-30000.00000000	a,Den of Evil\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
335	251	21	14	30000.00000000	-30000.00000000	a,Crypts of Disgrace\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
336	209	22	14	30000.00000000	-30000.00000000	a,Archaic Laboratory\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
337	249	23	14	30000.00000000	-30000.00000000	a,Frost Lake\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
338	214	23	13	30000.00000000	-30000.00000000	a,Sky Wagon Relic\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
339	247	25	15	-4500.00000000	-5500.00000000	a,The Last Imperial Tomb\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
340	244	25	15	-5600.00000000	-30000.00000000	a,Sepulcher of Great Sages\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
341	250	25	15	-4500.00000000	-5500.00000000	a,The Last Imperial Tomb\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
342	247	21	14	30000.00000000	-30000.00000000	a,Grave Robber Hideout\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
343	247	23	13	30000.00000000	-30000.00000000	a,Railroad Station\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
345	207	23	12	30000.00000000	-30000.00000000	a,Plunderous Plains\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
346	255	20	14	29998.00000000	-3900.00000000	a,Schuttgart Territory\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
347	252	23	14	30000.00000000	-30000.00000000	a,Ice Merchant Cabin\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
348	240	23	13	30000.00000000	-30000.00000000	a,Brigand Stronghold\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
349	250	21	21	30000.00000000	-30000.00000000	a,Fortress of Resistance\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
350	247	23	17	30000.00000000	-30000.00000000	a,Western Border Outpost\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
351	19	0	0	30000.00000000	-30000.00000000	a,The Immortal Plateau\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
352	20	0	0	30000.00000000	-30000.00000000	a,Spine Mountains\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
353	251	24	17	30000.00000000	-30000.00000000	a,Eastern Border Outpost\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
354	253	22	20	30000.00000000	-30000.00000000	a,Skyshadow Meadow\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
355	242	20	17	30000.00000000	-30000.00000000	a,Primeval Plains\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
356	253	20	17	30000.00000000	-30000.00000000	a,Lost Nest\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
357	254	20	17	30000.00000000	-30000.00000000	a,Primeval Isle\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
358	251	18	10	-5000.00000000	-30000.00000000	a,Catacomb of the Heretic\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
359	251	19	10	-5000.00000000	-30000.00000000	a,Catacomb of the Apostate\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
360	251	20	10	-5000.00000000	-30000.00000000	a,Catacomb of the Forbidden Path\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
361	246	20	17	30000.00000000	-30000.00000000	a,Primeval Isle Wharf\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
362	250	20	17	30000.00000000	-30000.00000000	a,Sailren's Den\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
